iSub,type,iTrial,body_ori,neck_length,head_length,leg_length,tail_length,neck_angle,head_angle,leg_angle,tail_angle
1,target,1,-1,0.666666666666667,0.0,0.666666666666667,0.166666666666667,0.5,0.5,0.5,0.5
1,target,2,1,0.833333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.5,0.5,0.5,0.5
1,target,3,-1,0.333333333333333,0.833333333333333,0.333333333333333,0.666666666666667,0.5,0.5,0.5,0.5
1,target,4,1,0.833333333333333,0.833333333333333,0.166666666666667,1.0,0.5,0.5,0.5,0.5
1,target,5,-1,0.833333333333333,0.333333333333333,0.0,0.0,0.5,0.5,0.5,0.5
1,target,6,1,1.0,1.0,0.833333333333333,0.5,0.5,0.5,0.5,0.5
1,target,7,-1,1.0,0.0,0.833333333333333,0.0,0.5,0.5,0.5,0.5
1,target,8,-1,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5
1,target,9,1,1.0,0.833333333333333,1.0,0.0,0.5,0.5,0.5,0.5
1,target,10,1,0.833333333333333,0.166666666666667,0.833333333333333,0.166666666666667,0.5,0.5,0.5,0.5
1,target,11,1,0.666666666666667,0.166666666666667,1.0,1.0,0.5,0.5,0.5,0.5
1,target,12,-1,1.0,0.666666666666667,0.666666666666667,0.166666666666667,0.5,0.5,0.5,0.5
1,target,13,1,0.0,0.0,0.333333333333333,0.5,0.5,0.5,0.5,0.5
1,target,14,1,0.0,0.666666666666667,0.0,0.166666666666667,0.5,0.5,0.5,0.5
1,target,15,1,1.0,0.833333333333333,0.5,0.333333333333333,0.5,0.5,0.5,0.5
1,target,16,1,0.5,0.333333333333333,0.666666666666667,0.833333333333333,0.5,0.5,0.5,0.5
1,target,17,-1,0.5,1.0,0.333333333333333,0.5,0.5,0.5,0.5,0.5
1,target,18,-1,0.666666666666667,1.0,0.166666666666667,0.333333333333333,0.5,0.5,0.5,0.5
1,target,19,-1,0.666666666666667,0.0,0.666666666666667,0.166666666666667,0.5,0.5,0.5,0.5
1,target,20,-1,0.166666666666667,0.0,0.333333333333333,0.833333333333333,0.5,0.5,0.5,0.5
1,target,21,-1,0.333333333333333,0.833333333333333,0.0,0.5,0.5,0.5,0.5,0.5
1,target,22,-1,0.166666666666667,0.5,1.0,0.166666666666667,0.5,0.5,0.5,0.5
1,target,23,-1,0.0,1.0,0.5,0.833333333333333,0.5,0.5,0.5,0.5
1,target,24,-1,0.833333333333333,0.833333333333333,0.5,0.166666666666667,0.5,0.5,0.5,0.5
1,target,25,1,0.666666666666667,0.166666666666667,0.333333333333333,0.666666666666667,0.5,0.5,0.5,0.5
1,target,26,-1,0.166666666666667,0.166666666666667,0.833333333333333,0.333333333333333,0.5,0.5,0.5,0.5
1,target,27,-1,1.0,0.5,0.166666666666667,0.0,0.5,0.5,0.5,0.5
1,target,28,-1,0.666666666666667,0.833333333333333,0.333333333333333,0.5,0.5,0.5,0.5,0.5
1,target,29,1,0.833333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.5,0.5,0.5,0.5
1,target,30,-1,0.333333333333333,0.333333333333333,1.0,0.166666666666667,0.5,0.5,0.5,0.5
1,target,31,-1,0.833333333333333,0.5,0.666666666666667,1.0,0.5,0.5,0.5,0.5
1,target,32,1,0.0,1.0,0.5,0.666666666666667,0.5,0.5,0.5,0.5
1,target,33,-1,0.0,0.166666666666667,1.0,1.0,0.5,0.5,0.5,0.5
1,target,34,-1,0.833333333333333,1.0,0.666666666666667,0.166666666666667,0.5,0.5,0.5,0.5
1,target,35,-1,0.5,0.666666666666667,0.5,0.666666666666667,0.5,0.5,0.5,0.5
1,target,36,1,0.5,0.166666666666667,1.0,0.166666666666667,0.5,0.5,0.5,0.5
1,target,37,1,0.166666666666667,0.333333333333333,0.333333333333333,1.0,0.5,0.5,0.5,0.5
1,target,38,1,0.666666666666667,0.666666666666667,1.0,0.333333333333333,0.5,0.5,0.5,0.5
1,target,39,1,0.166666666666667,0.333333333333333,1.0,0.0,0.5,0.5,0.5,0.5
1,target,40,-1,0.333333333333333,0.833333333333333,0.0,0.0,0.5,0.5,0.5,0.5
1,target,41,-1,1.0,0.0,0.5,0.666666666666667,0.5,0.5,0.5,0.5
1,target,42,-1,0.0,1.0,0.5,0.833333333333333,0.5,0.5,0.5,0.5
1,target,43,1,0.5,1.0,0.333333333333333,0.0,0.5,0.5,0.5,0.5
1,target,44,1,0.5,0.5,0.666666666666667,1.0,0.5,0.5,0.5,0.5
1,target,45,-1,0.166666666666667,0.166666666666667,0.833333333333333,0.333333333333333,0.5,0.5,0.5,0.5
1,target,46,-1,0.5,1.0,0.333333333333333,0.5,0.5,0.5,0.5,0.5
